"Dependency","BugCategory","Rho","Pvalue"
"nodemon","Total_Bugs",0.10237854491849,0.597175895502972
"@testing-library/jest-dom","API Misuse",0.280822045458312,0.140042376237643
"@testing-library/jest-dom","Async / Event",-0.136487827406004,0.480192507950205
"@testing-library/jest-dom","Logic Error",0.0752795727261256,0.697932944198753
"@testing-library/jest-dom","Missing Case",-0.24975159126384,0.191344091736998
"@testing-library/jest-dom","Missing Feature",-0.247777239416486,0.194993609360343
"@testing-library/jest-dom","Performance Issue",-0.153522062157279,0.426551928438762
"@testing-library/jest-dom","Runtime Exception",-0.197449625919697,0.304571574748599
"@testing-library/jest-dom","Test Fault",0.00828173324999922,0.96599061697401
"@testing-library/jest-dom","Tooling / Config",-0.0909597704609422,0.638882548778935
"@testing-library/jest-dom","Type Error",0.259634768941963,0.173787740573013
"@testing-library/jest-dom","UI Bug",0.231005142908814,0.227944308593135
"@testing-library/jest-dom","Error Handling",-0.0740740740740741,0.70255046974996
"@testing-library/jest-dom","Total_Bugs",0.18020683530043,0.349558624178118
"@playwright/test","API Misuse",0.0827243117732647,0.669655427374296
"@playwright/test","Async / Event",0.0236930951225185,0.902902427194582
"@playwright/test","Logic Error",0.162622463574986,0.399307521653602
"@playwright/test","Missing Case",-0.173418782356682,0.368304950696809
"@playwright/test","Missing Feature",-0.172047861388454,0.372161276684726
"@playwright/test","Performance Issue",-0.106600358177805,0.582057766986335
"@playwright/test","Runtime Exception",-0.13710212427677,0.47819985744571
"@playwright/test","Test Fault",-0.241522945769824,0.206871294894599
"@playwright/test","Tooling / Config",-0.183736110029319,0.340042088163303
"@playwright/test","Type Error",0.26751421048956,0.160628233596328
"@playwright/test","UI Bug",0.297889249063451,0.116533315416882
"@playwright/test","Error Handling",-0.051434449987364,0.791029093662479
"@playwright/test","Total_Bugs",-0.295760240875639,0.119294481613871
"eslint-plugin-react","API Misuse",0.0708054744182254,0.715122255024445
"eslint-plugin-react","Async / Event",0.0993691448458609,0.608054061812935
"eslint-plugin-react","Logic Error",-0.118313182328311,0.541025346485119
"eslint-plugin-react","Missing Case",0.133589497514415,0.489651374484129
"eslint-plugin-react","Missing Feature",0.235614999984806,0.218537488775181
"eslint-plugin-react","Performance Issue",0.0729931868601812,0.706699512851196
"eslint-plugin-react","Runtime Exception",-0.00821440096816907,0.966266964523399
"eslint-plugin-react","Test Fault",-0.0206724557648681,0.915234169235827
"eslint-plugin-react","Tooling / Config",0.103204232433995,0.594205925300572
"eslint-plugin-react","Type Error",-0.125436301501064,0.516758289974267
"eslint-plugin-react","UI Bug",-0.0137291355107739,0.943648716382923
"eslint-plugin-react","Error Handling",0.354391792032785,0.0592610212655531
"eslint-plugin-react","Total_Bugs",0.129494629850676,0.503174607599272
"globals","API Misuse",-0.0500269614470928,0.796627396032396
"globals","Async / Event",-0.0250744149934325,0.89727037920848
"globals","Logic Error",-0.073758616493498,0.70376051312646
"globals","Missing Case",0.026218455473338,0.892609470564081
"globals","Missing Feature",0.117050362671693,0.545382824451111
"globals","Performance Issue",0.241746889207614,0.206437641209505
"globals","Runtime Exception",0.130585725019802,0.499553199850571
"globals","Test Fault",-0.0730296743340221,0.706559318826171
"globals","Tooling / Config",0.243060026999989,0.203907351684356
"globals","Type Error",-0.264646705605565,0.165332379249195
"globals","UI Bug",-0.145502930079078,0.451382418806074
"globals","Error Handling",0.285773803324704,0.132894120420259
"globals","Total_Bugs",0.168540194320077,0.382135021404083
"@testing-library/react","API Misuse",0.280822045458312,0.140042376237643
"@testing-library/react","Async / Event",-0.136487827406004,0.480192507950205
"@testing-library/react","Logic Error",0.0752795727261256,0.697932944198753
"@testing-library/react","Missing Case",-0.24975159126384,0.191344091736998
"@testing-library/react","Missing Feature",-0.247777239416486,0.194993609360343
"@testing-library/react","Performance Issue",-0.153522062157279,0.426551928438762
"@testing-library/react","Runtime Exception",-0.197449625919697,0.304571574748599
"@testing-library/react","Test Fault",0.00828173324999922,0.96599061697401
"@testing-library/react","Tooling / Config",-0.0909597704609422,0.638882548778935
"@testing-library/react","Type Error",0.259634768941963,0.173787740573013
"@testing-library/react","UI Bug",0.231005142908814,0.227944308593135
"@testing-library/react","Error Handling",-0.0740740740740741,0.70255046974996
"@testing-library/react","Total_Bugs",0.18020683530043,0.349558624178118
"@biomejs/biome","API Misuse",0.0827243117732647,0.669655427374296
"@biomejs/biome","Async / Event",0.296163689031481,0.118767562235125
"@biomejs/biome","Logic Error",-0.290397256383903,0.126463749906932
"@biomejs/biome","Missing Case",0.198192894121922,0.302717886427505
"@biomejs/biome","Missing Feature",0.0860239306942269,0.657259577695968
"@biomejs/biome","Performance Issue",-0.106600358177805,0.582057766986335
"@biomejs/biome","Runtime Exception",-0.13710212427677,0.47819985744571
"@biomejs/biome","Test Fault",0.126512019212765,0.513140375417156
"@biomejs/biome","Tooling / Config",-0.0574175343841622,0.767347715590124
"@biomejs/biome","Type Error",-0.0814173684098662,0.674589078979025
"@biomejs/biome","UI Bug",-0.0114572788101327,0.95296235166564
"@biomejs/biome","Error Handling",-0.051434449987364,0.791029093662479
"@biomejs/biome","Total_Bugs",-0.170630908197484,0.376171789306963
"typescript-eslint","API Misuse",-0.106208211627338,0.583454896113161
"typescript-eslint","Async / Event",0.0993691448458609,0.608054061812935
"typescript-eslint","Logic Error",-0.00695959896048888,0.971417633172251
"typescript-eslint","Missing Case",0.133589497514415,0.489651374484129
"typescript-eslint","Missing Feature",0.235614999984806,0.218537488775181
"typescript-eslint","Performance Issue",0.337593489228338,0.0732888965034291
"typescript-eslint","Runtime Exception",0.230003227108734,0.230024244475569
"typescript-eslint","Test Fault",0.0620173672946042,0.749278444479221
"typescript-eslint","Tooling / Config",0.185767618381191,0.334635975955791
"typescript-eslint","Type Error",-0.355402854253014,0.0584891034173802
"typescript-eslint","UI Bug",-0.288311845726251,0.129335272769669
"typescript-eslint","Error Handling",0.354391792032785,0.0592610212655531
"typescript-eslint","Total_Bugs",0.19083419135889,0.321382411971487
"jest","API Misuse",-0.0945420705980168,0.625673992098942
"jest","Async / Event",0.0236930951225185,0.902902427194582
"jest","Logic Error",0.302013146639259,0.111320020148499
"jest","Missing Case",0.0495482235304804,0.798533848578656
"jest","Missing Feature",0.233493526170044,0.222833322110617
"jest","Performance Issue",-0.106600358177805,0.582057766986335
"jest","Runtime Exception",0.260494036125864,0.172316907519846
"jest","Test Fault",0.0115010926557059,0.952782672552702
"jest","Tooling / Config",0.0229670137536649,0.905864741149775
"jest","Type Error",-0.0814173684098662,0.674589078979025
"jest","UI Bug",-0.25206013382292,0.187137273665014
"jest","Error Handling",-0.051434449987364,0.791029093662479
"jest","Total_Bugs",0.182006302077316,0.344686694404715
"nyc","API Misuse",-0.212719658845538,0.267913204541308
"nyc","Async / Event",-0.213237856102666,0.266721709166055
"nyc","Logic Error",0.0580794512767805,0.764739937710507
"nyc","Missing Case",-0.173418782356682,0.368304950696809
"nyc","Missing Feature",-0.172047861388454,0.372161276684726
"nyc","Performance Issue",0.335029697130245,0.0756379369702356
"nyc","Runtime Exception",0.260494036125864,0.172316907519846
"nyc","Test Fault",-0.103509833901353,0.593108304840364
"nyc","Tooling / Config",0.287087671920811,0.131042993361956
"nyc","Type Error",-0.290776315749522,0.125946869553641
"nyc","UI Bug",-0.25206013382292,0.187137273665014
"nyc","Error Handling",-0.051434449987364,0.791029093662479
"nyc","Total_Bugs",0.10237854491849,0.597175895502972
"eslint-plugin-import","API Misuse",-0.134530401394628,0.486570353638016
"eslint-plugin-import","Async / Event",-0.241325066054234,0.207254996245756
"eslint-plugin-import","Logic Error",0.139191979209778,0.47145285277506
"eslint-plugin-import","Missing Case",-0.17811933001922,0.355261752549865
"eslint-plugin-import","Missing Feature",-0.0662667187457268,0.732700293704287
"eslint-plugin-import","Performance Issue",0.0729931868601812,0.706699512851196
"eslint-plugin-import","Runtime Exception",0.230003227108734,0.230024244475569
"eslint-plugin-import","Test Fault",-0.199833739060391,0.298650781537678
"eslint-plugin-import","Tooling / Config",0.275211286490653,0.14847443556643
"eslint-plugin-import","Type Error",-0.167248402001418,0.385846692684685
"eslint-plugin-import","UI Bug",-0.17847876164006,0.354275849185281
"eslint-plugin-import","Error Handling",-0.0924500327042048,0.633374264020281
"eslint-plugin-import","Total_Bugs",0.170387670856152,0.376862763374278
"eslint","API Misuse",-0.0482457983731928,0.803726134445606
"eslint","Async / Event",-0.0773813246365268,0.689907677025852
"eslint","Logic Error",0.175460191541704,0.36260625323579
"eslint","Missing Case",0.03539896071572,0.855346656767184
"eslint","Missing Feature",0.0802722803312,0.678922613955262
"eslint","Performance Issue",0.0124341182825498,0.948956916929887
"eslint","Runtime Exception",0.0391801954984689,0.840082420203691
"eslint","Test Fault",0.0798201240576932,0.680636549486784
"eslint","Tooling / Config",-0.103138685121931,0.594441463841669
"eslint","Type Error",0.0522319308773341,0.787861591822875
"eslint","UI Bug",-0.0233870724380226,0.904150805279265
"eslint","Error Handling",0.136487170808888,0.480194640095219
"eslint","Total_Bugs",0.0882357169910975,0.648999705974755
"prettier","API Misuse",-0.0479089998515856,0.805070165084674
"prettier","Async / Event",0,1
"prettier","Logic Error",0.146504175976247,0.44824069875694
"prettier","Missing Case",-0.0334779471721296,0.86312143735839
"prettier","Missing Feature",0.127317631666391,0.510439068515705
"prettier","Performance Issue",0.109753929721916,0.570876311724997
"prettier","Runtime Exception",0.166742926870459,0.387304693188105
"prettier","Test Fault",-0.165778632576056,0.390094890063246
"prettier","Tooling / Config",0.13448918297759,0.486705117366026
"prettier","Type Error",-0.141456288028935,0.464198909825893
"prettier","UI Bug",-0.10321693289529,0.594160291957619
"prettier","Error Handling",0.196930279942793,0.305871016031789
"prettier","Total_Bugs",0.0922313192852019,0.634181479106307
"npm-run-all2","API Misuse",NA,NA
